Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Sierra Leone,Africa,6352,79.63,10,0.13,0,121,1.52,0,0,0
Isle of Man,Europe,6274,7378.4,557,655.05,42,29,34.1,0,0,0
Niger,Africa,5770,23.84,46,0.19,9,196,0.81,0,0,0
United States Virgin Islands,Americas,5605,5367.49,310,296.86,11,45,43.09,4,3.83,0
Liberia,Africa,5527,109.28,23,0.45,0,245,4.84,24,0.47,0
Guinea-Bissau,Africa,5518,280.39,395,20.07,22,103,5.23,13,0.66,4
Gibraltar,Europe,5278,15665.9,66,195.9,9,96,284.94,1,2.97,0
San Marino,Europe,5261,15501.8,30,88.4,6,90,265.19,0,0,0
Chad,Africa,4985,30.35,3,0.02,0,174,1.06,0,0,0
Barbados,Americas,4640,1614.62,115,40.02,12,48,16.7,0,0,0
Comoros,Africa,4050,465.73,12,1.38,2,147,16.9,0,0,0
Sint Maarten,Americas,3366,7849.45,238,555.01,0,42,97.94,3,7,0
Liechtenstein,Europe,3340,8620.02,58,149.69,0,58,149.69,0,0,0
Saint Martin,Americas,3147,8140.41,204,527.69,0,16,41.39,-17,-43.97,0
Monaco,Europe,3133,7983.39,74,188.56,4,35,89.19,0,0,0
Bermuda,Americas,2750,4416.04,75,120.44,0,33,52.99,0,0,0
New Zealand,Western Pacific,2698,55.95,128,2.65,38,26,0.54,0,0,0
Turks and Caicos Islands,Americas,2612,6746.22,44,113.64,11,19,49.07,0,0,0
Bhutan,South-East Asia,2585,335.01,8,1.04,0,3,0.39,0,0,0
British Virgin Islands,Americas,2568,8492.91,16,52.92,0,37,122.37,0,0,0
Sao Tome and Principe,Africa,2524,1151.68,36,16.43,0,37,16.88,0,0,0
Saint Vincent and the Grenadines,Americas,2320,2091.22,6,5.41,0,12,10.82,0,0,0
Brunei Darussalam,Western Pacific,1769,404.36,1046,239.1,314,3,0.69,0,0,0
Bonaire,Americas,1733,8285.92,26,124.31,0,17,81.28,0,0,0
Saint Barthélemy,Americas,1553,15710.67,74,748.61,0,1,10.12,0,0,0
Antigua and Barbuda,Americas,1490,1521.51,118,120.5,0,43,43.91,0,0,0
United Republic of Tanzania,Africa,1367,2.29,0,0,0,50,0.08,0,0,0
Dominica,Americas,1339,1859.95,396,550.07,16,1,1.39,1,1.39,0
Guernsey,Europe,1149,1782.28,78,120.99,0,18,27.92,0,0,0
Faroe Islands,Europe,995,2036.22,4,8.19,0,2,4.09,0,0,0
Saint Kitts and Nevis,Americas,823,1547.23,168,315.84,31,3,5.64,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Cayman Islands,Americas,663,1008.83,12,18.26,0,2,3.04,0,0,0
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0
Greenland,Europe,298,524.91,53,93.36,0,0,0,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,224,389.18,10,17.37,0,2,3.47,0,0,0
Grenada,Americas,222,197.29,34,30.22,10,1,0.89,0,0,0
Anguilla,Americas,166,1106.52,39,259.97,12,0,0,0,0,0
New Caledonia,Western Pacific,135,47.29,1,0.35,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,64,1837.5,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,Americas,30,517.69,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0
Montserrat,Americas,25,500.1,2,40.01,0,1,20,0,0,0
Sint Eustatius,Americas,24,764.57,1,31.86,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Saba,Americas,10,517.33,2,103.47,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
Palau,Western Pacific,2,11.05,2,11.05,2,0,0,0,0,0
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
